id,bank_type,bank_name,bank_name_full,bank_name_short,bank_name_en,is_,备注,search_key,is_tag
113,外资银行,香港渣打银行杭州分行,渣打銀行（香港）有限公司,香港渣打银行,SCB,1,,渣打银行,
114,外资银行,香港花旗银行杭州分行,花旗銀行（香港）有限公司,香港花旗银行,HQBK,1,,花旗银行,
115,外资银行,三井住友银行杭州分行,三井住友银行（中国）有限公司,三井住友银行,SMBC,1,,住友银行,
116,外资银行,香港南洋商业银行杭州分行,南洋商業銀行有限公司,香港南洋商业银行,NCBK,1,,南洋,
117,外资银行,法国兴业银行杭州分行,法国兴业银行（中国）有限公司,法国兴业银行,FXBK,1,,法国兴业银行,
118,外资银行,香港星展银行杭州分行,星展銀行（香港）有限公司,香港星展银行,DBS,1,,星展银行,
119,外资银行,新加坡大华银行杭州分行,新加坡商大華銀行有限公司,新加坡大华银行,UOB,1,,大华银行,
120,外资银行,澳新银行杭州分行,澳大利亚和新西兰银行（中国）有限公司,澳新银行,ANZ,1,,澳新银行,
121,外国银行分行,澳门国际银行杭州分行,澳门国际银行股份有限公司,澳门国际银行,AMBK,1,,澳门国际银行,
122,外资银行,香港华侨银行绍兴分行,香港华侨商业银行,香港华侨银行,OCBC,1,,香港华侨银行,
123,外资银行,三菱日联银行杭州分行,三菱日联银行（中国）有限公司,三菱日联银行,UFJ,1,,三菱日联银行,
124,信托投资公司法人,杭州工商信托,杭州工商信托股份有限公司,杭州工商信托,GSXT,1,,杭州工商信托,
125,信托投资公司法人,万向信托,万向信托股份公司,万向信托,WXXT,1,,万向信托,
126,信托投资公司法人,浙商金汇信托,浙商金汇信托股份有限公司,浙金信托,ZJXT,1,,浙金信托,
127,信托投资公司法人,中建投信托,中建投信托股份有限公司,中建投信托,JTXT,1,,中建投信托,
机构无,,,,龙湾农商银行,,,,龙湾农商银行,
